SaleID,ProductKey,CustomerKey,OrderDate,Quantity,NetPrice,SalesAmount,Year,Month,DateKey
1,2492,18813,2008-01-01,1,23.7405,23.7405,2008,1,20080101
2,1763,4751,2008-01-01,1,94.7625,94.7625,2008,1,20080101
3,1763,4760,2008-01-01,1,94.7625,94.7625,2008,1,20080101
4,1763,4764,2008-01-01,1,94.7625,94.7625,2008,1,20080101
5,1763,4773,2008-01-01,1,94.7625,94.7625,2008,1,20080101
6,1763,4774,2008-01-01,1,94.7625,94.7625,2008,1,20080101
7,1763,4775,2008-01-01,1,94.7625,94.7625,2008,1,20080101
8,1763,4776,2008-01-01,1,94.7625,94.7625,2008,1,20080101
9,1763,4777,2008-01-01,1,94.7625,94.7625,2008,1,20080101
10,1763,4778,2008-01-01,1,94.7625,94.7625,2008,1,20080101
11,1763,4779,2008-01-01,1,94.7625,94.7625,2008,1,20080101
12,1763,4781,2008-01-01,1,94.7625,94.7625,2008,1,20080101
13,1763,4782,2008-01-01,1,94.7625,94.7625,2008,1,20080101
14,1763,4783,2008-01-01,1,94.7625,94.7625,2008,1,20080101
15,1763,4815,2008-01-01,1,94.7625,94.7625,2008,1,20080101
16,2124,17160,2008-01-01,1,422.75,422.75,2008,1,20080101
17,2124,17163,2008-01-01,1,422.75,422.75,2008,1,20080101
18,2124,17165,2008-01-01,1,422.75,422.75,2008,1,20080101
19,197,17599,2008-01-01,1,284.905,284.905,2008,1,20080101
20,197,17600,2008-01-01,1,284.905,284.905,2008,1,20080101
21,197,17602,2008-01-01,1,284.905,284.905,2008,1,20080101
22,197,17604,2008-01-01,1,284.905,284.905,2008,1,20080101
23,197,17605,2008-01-01,1,284.905,284.905,2008,1,20080101
24,197,17607,2008-01-01,1,284.905,284.905,2008,1,20080101
25,192,5963,2008-01-01,1,569.05,569.05,2008,1,20080101
26,192,5964,2008-01-01,1,569.05,569.05,2008,1,20080101
27,192,5966,2008-01-01,1,569.05,569.05,2008,1,20080101
28,192,5967,2008-01-01,1,569.05,569.05,2008,1,20080101
29,192,5968,2008-01-01,1,569.05,569.05,2008,1,20080101
30,192,5969,2008-01-01,1,569.05,569.05,2008,1,20080101
31,192,5971,2008-01-01,1,569.05,569.05,2008,1,20080101
32,1776,15265,2008-01-01,1,40.85,40.85,2008,1,20080101
33,1776,15266,2008-01-01,1,40.85,40.85,2008,1,20080101
34,1776,15267,2008-01-01,1,40.85,40.85,2008,1,20080101
35,1776,15269,2008-01-01,1,40.85,40.85,2008,1,20080101
36,1776,15272,2008-01-01,1,40.85,40.85,2008,1,20080101
37,1666,13528,2008-01-01,1,16.0455,16.0455,2008,1,20080101
38,1666,13529,2008-01-01,1,16.0455,16.0455,2008,1,20080101
39,1666,13530,2008-01-01,1,16.0455,16.0455,2008,1,20080101
40,1666,13531,2008-01-01,1,16.0455,16.0455,2008,1,20080101
41,1666,13999,2008-01-01,1,16.0455,16.0455,2008,1,20080101
42,1666,14000,2008-01-01,1,16.0455,16.0455,2008,1,20080101
43,1666,14155,2008-01-01,1,16.0455,16.0455,2008,1,20080101
44,1666,14156,2008-01-01,1,16.0455,16.0455,2008,1,20080101
45,1666,14162,2008-01-01,1,16.0455,16.0455,2008,1,20080101
46,1666,14163,2008-01-01,1,16.0455,16.0455,2008,1,20080101
47,1666,14170,2008-01-01,1,16.0455,16.0455,2008,1,20080101
48,1666,14185,2008-01-01,1,16.0455,16.0455,2008,1,20080101
49,1666,14186,2008-01-01,1,16.0455,16.0455,2008,1,20080101
50,1666,14192,2008-01-01,1,16.0455,16.0455,2008,1,20080101
51,1666,14966,2008-01-01,1,16.0455,16.0455,2008,1,20080101
52,1666,14967,2008-01-01,1,16.0455,16.0455,2008,1,20080101
53,1666,15058,2008-01-01,1,16.0455,16.0455,2008,1,20080101
54,1666,15060,2008-01-01,1,16.0455,16.0455,2008,1,20080101
55,1666,15061,2008-01-01,1,16.0455,16.0455,2008,1,20080101
56,1666,15062,2008-01-01,1,16.0455,16.0455,2008,1,20080101
57,1666,15066,2008-01-01,1,16.0455,16.0455,2008,1,20080101
58,1666,15083,2008-01-01,1,16.0455,16.0455,2008,1,20080101
59,1666,15084,2008-01-01,1,16.0455,16.0455,2008,1,20080101
60,1666,15085,2008-01-01,1,16.0455,16.0455,2008,1,20080101
61,1666,15090,2008-01-01,1,16.0455,16.0455,2008,1,20080101
62,1666,15091,2008-01-01,1,16.0455,16.0455,2008,1,20080101
63,1666,15092,2008-01-01,1,16.0455,16.0455,2008,1,20080101
64,1666,15099,2008-01-01,1,16.0455,16.0455,2008,1,20080101
65,1666,15107,2008-01-01,1,16.0455,16.0455,2008,1,20080101
66,1666,15108,2008-01-01,1,16.0455,16.0455,2008,1,20080101
67,1666,15109,2008-01-01,1,16.0455,16.0455,2008,1,20080101
68,1666,15204,2008-01-01,1,16.0455,16.0455,2008,1,20080101
69,1666,15539,2008-01-01,1,16.0455,16.0455,2008,1,20080101
70,1666,15541,2008-01-01,1,16.0455,16.0455,2008,1,20080101
71,1666,15594,2008-01-01,1,16.0455,16.0455,2008,1,20080101
72,1666,15685,2008-01-01,1,16.0455,16.0455,2008,1,20080101
73,1666,15691,2008-01-01,1,16.0455,16.0455,2008,1,20080101
74,1666,15692,2008-01-01,1,16.0455,16.0455,2008,1,20080101
75,1666,15699,2008-01-01,1,16.0455,16.0455,2008,1,20080101
76,1666,15705,2008-01-01,1,16.0455,16.0455,2008,1,20080101
77,1666,15706,2008-01-01,1,16.0455,16.0455,2008,1,20080101
78,1666,15708,2008-01-01,1,16.0455,16.0455,2008,1,20080101
79,1666,15709,2008-01-01,1,16.0455,16.0455,2008,1,20080101
80,1666,15723,2008-01-01,1,16.0455,16.0455,2008,1,20080101
81,1666,15724,2008-01-01,1,16.0455,16.0455,2008,1,20080101
82,1666,16453,2008-01-01,1,16.0455,16.0455,2008,1,20080101
83,1666,16460,2008-01-01,1,16.0455,16.0455,2008,1,20080101
84,1666,16461,2008-01-01,1,16.0455,16.0455,2008,1,20080101
85,1666,16528,2008-01-01,1,16.0455,16.0455,2008,1,20080101
86,1666,16529,2008-01-01,1,16.0455,16.0455,2008,1,20080101
87,1666,16530,2008-01-01,1,16.0455,16.0455,2008,1,20080101
88,1666,16616,2008-01-01,1,16.0455,16.0455,2008,1,20080101
89,1666,16620,2008-01-01,1,16.0455,16.0455,2008,1,20080101
90,1666,16621,2008-01-01,1,16.0455,16.0455,2008,1,20080101
91,1666,16622,2008-01-01,1,16.0455,16.0455,2008,1,20080101
92,1666,16631,2008-01-01,1,16.0455,16.0455,2008,1,20080101
93,1666,16632,2008-01-01,1,16.0455,16.0455,2008,1,20080101
94,1666,16641,2008-01-01,1,16.0455,16.0455,2008,1,20080101
95,1666,16642,2008-01-01,1,16.0455,16.0455,2008,1,20080101
96,1666,16646,2008-01-01,1,16.0455,16.0455,2008,1,20080101
97,1666,16647,2008-01-01,1,16.0455,16.0455,2008,1,20080101
98,1666,16648,2008-01-01,1,16.0455,16.0455,2008,1,20080101
99,1666,16662,2008-01-01,1,16.0455,16.0455,2008,1,20080101
100,1666,16664,2008-01-01,1,16.0455,16.0455,2008,1,20080101
101,1666,16665,2008-01-01,1,16.0455,16.0455,2008,1,20080101
102,1666,17076,2008-01-01,1,16.0455,16.0455,2008,1,20080101
103,1666,17077,2008-01-01,1,16.0455,16.0455,2008,1,20080101
104,1666,17084,2008-01-01,1,16.0455,16.0455,2008,1,20080101
105,1666,17085,2008-01-01,1,16.0455,16.0455,2008,1,20080101
106,1666,17147,2008-01-01,1,16.0455,16.0455,2008,1,20080101
107,1666,17236,2008-01-01,1,16.0455,16.0455,2008,1,20080101
108,1666,17237,2008-01-01,1,16.0455,16.0455,2008,1,20080101
109,1666,17238,2008-01-01,1,16.0455,16.0455,2008,1,20080101
110,1666,17239,2008-01-01,1,16.0455,16.0455,2008,1,20080101
111,1666,17243,2008-01-01,1,16.0455,16.0455,2008,1,20080101
112,1666,17244,2008-01-01,1,16.0455,16.0455,2008,1,20080101
113,1666,17245,2008-01-01,1,16.0455,16.0455,2008,1,20080101
114,1666,17253,2008-01-01,1,16.0455,16.0455,2008,1,20080101
115,1666,17254,2008-01-01,1,16.0455,16.0455,2008,1,20080101
116,1666,17260,2008-01-01,1,16.0455,16.0455,2008,1,20080101
117,1666,17268,2008-01-01,1,16.0455,16.0455,2008,1,20080101
118,1666,17269,2008-01-01,1,16.0455,16.0455,2008,1,20080101
119,1666,17288,2008-01-01,1,16.0455,16.0455,2008,1,20080101
120,1666,17289,2008-01-01,1,16.0455,16.0455,2008,1,20080101
121,1666,17290,2008-01-01,1,16.0455,16.0455,2008,1,20080101
122,1666,18049,2008-01-01,1,16.0455,16.0455,2008,1,20080101
123,1666,18128,2008-01-01,1,16.0455,16.0455,2008,1,20080101
124,1666,18129,2008-01-01,1,16.0455,16.0455,2008,1,20080101
125,1666,18130,2008-01-01,1,16.0455,16.0455,2008,1,20080101
126,1666,18220,2008-01-01,1,16.0455,16.0455,2008,1,20080101
127,1666,18221,2008-01-01,1,16.0455,16.0455,2008,1,20080101
128,1666,18222,2008-01-01,1,16.0455,16.0455,2008,1,20080101
129,1666,18229,2008-01-01,1,16.0455,16.0455,2008,1,20080101
130,1666,18235,2008-01-01,1,16.0455,16.0455,2008,1,20080101
131,1666,18236,2008-01-01,1,16.0455,16.0455,2008,1,20080101
132,1666,18237,2008-01-01,1,16.0455,16.0455,2008,1,20080101
133,1666,18239,2008-01-01,1,16.0455,16.0455,2008,1,20080101
134,1666,18240,2008-01-01,1,16.0455,16.0455,2008,1,20080101
135,1666,18244,2008-01-01,1,16.0455,16.0455,2008,1,20080101
136,1666,18245,2008-01-01,1,16.0455,16.0455,2008,1,20080101
137,1666,18246,2008-01-01,1,16.0455,16.0455,2008,1,20080101
138,1666,18252,2008-01-01,1,16.0455,16.0455,2008,1,20080101
139,1666,18253,2008-01-01,1,16.0455,16.0455,2008,1,20080101
140,1666,18262,2008-01-01,1,16.0455,16.0455,2008,1,20080101
141,1666,18275,2008-01-01,1,16.0455,16.0455,2008,1,20080101
142,1666,18355,2008-01-01,1,16.0455,16.0455,2008,1,20080101
143,1666,82,2008-01-01,1,16.0455,16.0455,2008,1,20080101
144,1666,83,2008-01-01,1,16.0455,16.0455,2008,1,20080101
